gateway_name,symbol,exchange,orderid,tradeid,direction,offset,price,volume,time,datetime,pnl,net_npl,commission,slippage,interval
BACKTESTING,XBTUSD,BITMEX,66,66,空,平,9834.5,692.0415224913495,11:35:00,2019-06-21 11:35:00,215311.4186851211,211940.08650519032,1361.1764705882354,346.02076124567475,1m
BACKTESTING,XBTUSD,BITMEX,67,67,多,开,9844.0,94.20631182289213,11:36:00,2019-06-21 11:36:00,0,0,185.47338671691003,47.103155911446066,1m
BACKTESTING,XBTUSD,BITMEX,68,68,多,开,9897.0,94.20631182289213,13:19:00,2019-06-21 13:19:00,0,0,186.4719736222327,47.103155911446066,1m
BACKTESTING,XBTUSD,BITMEX,69,69,空,平,9684.5,188.41262364578427,13:28:00,2019-06-21 13:28:00,-35044.74799811622,-35970.04239284066,364.93641073951954,94.20631182289213,1m
BACKTESTING,XBTUSD,BITMEX,70,70,多,开,9932.0,92.67840593141797,17:33:00,2019-06-21 17:33:00,0,0,184.09638554216866,46.339202965708985,1m
BACKTESTING,XBTUSD,BITMEX,71,71,多,开,9986.0,92.67840593141797,23:32:00,2019-06-21 23:32:00,0,0,185.09731232622798,46.339202965708985,1m
BACKTESTING,XBTUSD,BITMEX,72,72,多,开,10040.0,92.67840593141797,23:32:00,2019-06-21 23:32:00,0,0,186.0982391102873,46.339202965708985,1m
BACKTESTING,XBTUSD,BITMEX,73,73,多,开,10094.0,92.67840593141797,23:32:00,2019-06-21 23:32:00,0,0,187.0991658943466,46.339202965708985,1m
BACKTESTING,XBTUSD,BITMEX,74,74,空,平,10491.5,370.7136237256719,02:01:00,2019-06-22 02:01:00,177386.468952734,175495.49582947174,777.8683966635773,185.35681186283594,1m
BACKTESTING,XBTUSD,BITMEX,75,75,多,开,10535.5,76.24857033930614,02:15:00,2019-06-22 02:15:00,0,0,160.66336256195197,38.12428516965307,1m
BACKTESTING,XBTUSD,BITMEX,76,76,多,开,10601.0,76.24857033930614,02:19:00,2019-06-22 02:19:00,0,0,161.6622188333969,38.12428516965307,1m
BACKTESTING,XBTUSD,BITMEX,77,77,多,开,10732.0,76.24857033930614,02:22:00,2019-06-22 02:22:00,0,0,163.65993137628672,38.12428516965307,1m
BACKTESTING,XBTUSD,BITMEX,78,78,多,开,10797.5,76.24857033930614,02:22:00,2019-06-22 02:22:00,0,0,164.6587876477316,38.12428516965307,1m
BACKTESTING,XBTUSD,BITMEX,79,79,空,平,10570.0,304.99428135722457,14:35:00,2019-06-22 14:35:00,-29431.94815097217,-31032.344643537934,644.7579107891728,152.49714067861228,1m
BACKTESTING,XBTUSD,BITMEX,80,80,多,开,10950.0,70.44734061289186,19:16:00,2019-06-23 19:16:00,0,0,154.27967594223318,35.22367030644593,1m
BACKTESTING,XBTUSD,BITMEX,81,81,多,开,11021.0,70.44734061289186,19:19:00,2019-06-23 19:19:00,0,0,155.28002817893625,35.22367030644593,1m
BACKTESTING,XBTUSD,BITMEX,82,82,多,开,11163.0,70.44734061289186,21:23:00,2019-06-23 21:23:00,0,0,157.28073265234238,35.22367030644593,1m
